Tick,Switch,Signal
1,A,0
1,B,0
2,A,0
2,B,0
3,A,0
3,B,0
4,A,0
4,B,0
5,A,0
5,B,0
6,A,0
6,B,0
7,A,0
7,B,0
8,A,0
8,B,0
9,A,0
9,B,0
10,A,0
10,B,0
11,A,0
11,B,0
12,A,0
12,B,0
13,A,0
13,B,0
14,A,0
14,B,0
15,A,0
15,B,0
16,A,0
16,B,0
17,A,0
17,B,0
18,A,0
18,B,0
19,A,0
19,B,0
20,A,0
20,B,0
21,A,0
21,B,0
22,A,0
22,B,0
23,A,0
23,B,0
24,A,0
24,B,0
25,A,0
25,B,0
26,A,0
26,B,0
27,A,0
27,B,0
28,A,0
28,B,0
29,A,0
29,B,0
30,A,0
30,B,0
31,A,0
31,B,0
32,A,0
32,B,0
33,A,0
33,B,0
34,A,0
34,B,0
35,A,0
35,B,0
36,A,0
36,B,0
37,A,0
37,B,0
38,A,0
38,B,0
39,A,0
39,B,0
40,A,0
40,B,0
41,A,0
41,B,0
42,A,0
42,B,0
43,A,0
43,B,0
44,A,0
44,B,0
45,A,0
45,B,0
46,A,0
46,B,0
47,A,0
47,B,0
48,A,0
48,B,0
49,A,0
49,B,0
50,A,0
50,B,0
51,A,0
51,B,0
52,A,0
52,B,0
53,A,0
53,B,0
54,A,0
54,B,0
