time_Tick,Switch,mode,State
1,A,0,0
1,B,0,0
1,C,0,0
1,D,0,0
1,E,0,0
2,A,0,0
2,B,0,0
2,C,0,0
2,D,0,0
2,E,0,0
3,A,0,0
3,B,0,0
3,C,0,0
3,D,0,0
3,E,0,0
4,A,0,0
4,B,0,0
4,C,0,0
4,D,0,0
4,E,0,0
5,A,0,0
5,B,0,0
5,C,0,0
5,D,0,0
5,E,0,0
6,A,0,0
6,B,0,0
6,C,0,0
6,D,0,0
6,E,0,0
7,A,0,0
7,B,0,0
7,C,0,0
7,D,0,0
7,E,0,0
8,A,0,1
8,B,0,0
8,C,0,0
8,D,0,0
8,E,0,0
9,A,0,1
9,B,0,0
9,C,0,0
9,D,0,0
9,E,0,0
10,A,0,1
10,B,0,0
10,C,0,0
10,D,0,0
10,E,0,0
11,A,0,1
11,B,0,0
11,C,0,1
11,D,0,0
11,E,0,0
12,A,0,1
12,B,0,0
12,C,0,1
12,D,0,0
12,E,0,0
13,A,0,1
13,B,0,0
13,C,0,1
13,D,0,0
13,E,0,0
14,A,0,0
14,B,0,0
14,C,0,1
14,D,0,0
14,E,0,0
15,A,0,0
15,B,0,0
15,C,0,1
15,D,0,0
15,E,0,0
16,A,0,0
16,B,0,0
16,C,0,1
16,D,0,0
16,E,0,0
17,A,0,0
17,B,0,0
17,C,0,1
17,D,0,0
17,E,0,0
18,A,0,0
18,B,0,0
18,C,0,0
18,D,0,0
18,E,0,0
19,A,0,0
19,B,0,0
19,C,0,0
19,D,0,0
19,E,0,0
20,A,0,0
20,B,0,0
20,C,0,0
20,D,0,0
20,E,0,0
21,A,0,0
21,B,0,0
21,C,0,0
21,D,0,0
21,E,0,0
22,A,0,0
22,B,0,1
22,C,0,0
22,D,0,0
22,E,0,0
23,A,0,1
23,B,0,1
23,C,0,0
23,D,0,0
23,E,0,0
24,A,0,1
24,B,0,1
24,C,0,0
24,D,0,0
24,E,0,0
25,A,0,1
25,B,0,1
25,C,0,0
25,D,0,0
25,E,0,0
26,A,0,1
26,B,0,1
26,C,0,0
26,D,0,0
26,E,0,0
27,A,0,1
27,B,0,1
27,C,0,0
27,D,0,0
27,E,0,0
28,A,0,1
28,B,0,0
28,C,0,0
28,D,0,0
28,E,0,0
29,A,0,1
29,B,0,0
29,C,0,0
29,D,0,0
29,E,0,0
30,A,0,1
30,B,0,0
30,C,0,0
30,D,0,0
30,E,0,0
31,A,0,1
31,B,0,0
31,C,0,0
31,D,0,0
31,E,0,0
32,A,0,1
32,B,0,0
32,C,0,0
32,D,0,0
32,E,0,0
33,A,0,1
33,B,0,0
33,C,0,0
33,D,0,0
33,E,0,0
34,A,0,1
34,B,0,0
34,C,0,0
34,D,0,0
34,E,0,0
35,A,0,1
35,B,0,0
35,C,0,0
35,D,0,0
35,E,0,0
36,A,0,1
36,B,0,0
36,C,0,0
36,D,0,0
36,E,0,0
37,A,0,1
37,B,0,1
37,C,0,0
37,D,0,0
37,E,0,0
38,A,0,1
38,B,0,1
38,C,0,0
38,D,0,0
38,E,0,0
39,A,0,1
39,B,0,1
39,C,0,0
39,D,0,0
39,E,0,0
40,A,0,1
40,B,0,1
40,C,0,0
40,D,0,0
40,E,0,0
41,A,0,1
41,B,0,1
41,C,0,0
41,D,0,0
41,E,0,0
42,A,0,1
42,B,0,1
42,C,0,0
42,D,0,0
42,E,0,0
43,A,0,1
43,B,0,1
43,C,0,0
43,D,0,0
43,E,0,0
