time_Tick,Id_train,X_cord,Y_cord,Direction,State
1,0,3,2,1,1
2,0,3,2,1,0
3,0,4,2,1,1
4,0,4,2,1,0
5,0,5,2,1,1
5,1,3,5,1,1
6,0,5,2,1,0
6,1,3,5,1,0
7,0,6,2,1,0
7,1,4,5,1,1
8,0,7,2,1,1
8,1,4,5,1,0
9,0,7,2,1,0
9,1,5,5,1,1
9,2,3,8,1,1
10,0,8,2,1,1
10,1,5,5,1,0
10,2,3,8,1,0
11,0,8,2,1,0
11,1,6,5,1,0
11,2,4,8,1,1
12,0,9,2,1,1
12,1,7,5,1,1
12,2,4,8,1,0
13,0,9,2,1,0
13,1,7,5,1,0
13,2,5,8,1,1
13,3,3,11,1,1
14,0,10,2,1,0
14,1,8,5,1,1
14,2,5,8,1,0
14,3,3,11,1,0
15,0,11,2,1,1
15,1,8,5,1,0
15,2,6,8,1,0
15,3,4,11,1,1
16,0,11,2,1,0
16,1,9,5,1,1
16,2,7,8,1,1
16,3,4,11,1,0
17,0,12,2,1,1
17,1,9,5,1,0
17,2,7,8,1,0
17,3,5,11,1,1
17,4,3,14,1,1
18,0,12,2,1,0
18,1,10,5,1,0
18,2,8,8,1,1
18,3,5,11,1,0
18,4,3,14,1,0
19,0,13,2,1,1
19,1,11,5,1,1
19,2,8,8,1,0
19,3,6,11,1,0
19,4,4,14,1,1
20,0,13,2,1,0
20,1,11,5,1,0
20,2,9,8,1,1
20,3,7,11,1,1
20,4,4,14,1,0
21,0,14,2,1,0
21,1,12,5,1,1
21,2,9,8,1,0
21,3,7,11,1,0
21,4,5,14,1,1
21,5,3,2,1,1
22,0,15,2,1,1
22,1,12,5,1,0
22,2,10,8,1,0
22,3,8,11,1,1
22,4,5,14,1,0
22,5,3,2,1,0
23,0,15,2,1,0
23,1,13,5,1,1
23,2,11,8,1,1
23,3,8,11,1,0
23,4,6,14,1,0
23,5,4,2,1,1
24,0,16,2,1,1
24,1,13,5,1,0
24,2,11,8,1,0
24,3,9,11,1,1
24,4,7,14,1,1
24,5,4,2,1,0
25,0,16,2,1,0
25,1,14,5,1,0
25,2,12,8,1,1
25,3,9,11,1,0
25,4,7,14,1,0
25,5,5,2,1,1
25,6,3,5,1,1
26,0,17,2,1,1
26,1,15,5,1,1
26,2,12,8,1,0
26,3,10,11,1,0
26,4,8,14,1,1
26,5,5,2,1,0
26,6,3,5,1,0
27,0,17,2,1,0
27,1,15,5,1,0
27,2,13,8,1,1
27,3,11,11,1,1
27,4,8,14,1,0
27,5,6,2,1,0
27,6,4,5,1,1
28,0,18,2,1,0
28,1,16,5,1,1
28,2,13,8,1,0
28,3,11,11,1,0
28,4,9,14,1,1
28,5,7,2,1,1
28,6,4,5,1,0
29,0,19,2,1,1
29,1,16,5,1,0
29,2,14,8,1,0
29,3,12,11,1,1
29,4,9,14,1,0
29,5,7,2,1,0
29,6,5,5,1,1
29,7,3,8,1,1
30,0,19,2,1,0
30,1,17,5,1,1
30,2,15,8,1,1
30,3,12,11,1,0
30,4,10,14,1,0
30,5,8,2,1,1
30,6,5,5,1,0
30,7,3,8,1,0
31,0,20,2,1,1
31,1,17,5,1,0
31,2,15,8,1,0
31,3,13,11,1,1
31,4,11,14,1,1
31,5,8,2,1,0
31,6,6,5,1,0
31,7,4,8,1,1
32,0,20,2,1,0
32,1,18,5,1,0
32,2,16,8,1,1
32,3,13,11,1,0
32,4,11,14,1,0
32,5,9,2,1,1
32,6,7,5,1,1
32,7,4,8,1,0
33,0,21,2,1,1
33,1,19,5,1,1
33,2,16,8,1,0
33,3,14,11,1,0
33,4,12,14,1,1
33,5,9,2,1,0
33,6,7,5,1,0
33,7,5,8,1,1
33,8,3,11,1,1
34,0,21,2,1,0
34,1,19,5,1,0
34,2,17,8,1,1
34,3,15,11,1,1
34,4,12,14,1,0
34,5,10,2,1,0
34,6,8,5,1,1
34,7,5,8,1,0
34,8,3,11,1,0
35,0,22,2,1,0
35,1,20,5,1,1
35,2,17,8,1,0
35,3,15,11,1,0
35,4,13,14,1,1
35,5,10,3,2,0
35,6,8,5,1,0
35,7,6,8,1,0
35,8,4,11,1,1
36,0,23,2,1,1
36,1,20,5,1,0
36,2,18,8,1,0
36,3,16,11,1,1
36,4,13,14,1,0
36,5,10,4,2,0
36,6,9,5,1,1
36,7,7,8,1,1
36,8,4,11,1,0
37,0,23,2,1,0
37,1,21,5,1,1
37,2,19,8,1,1
37,3,16,11,1,0
37,4,14,14,1,0
37,5,10,5,2,0
37,6,9,5,1,0
37,7,7,8,1,0
37,8,5,11,1,1
37,9,3,14,1,1
38,0,24,2,1,1
38,1,21,5,1,0
38,2,19,8,1,0
38,3,17,11,1,1
38,4,15,14,1,1
38,5,10,6,2,0
38,6,10,5,1,0
38,7,8,8,1,1
38,8,5,11,1,0
38,9,3,14,1,0
